Vote,Group,Clear,Useful,Interesting,Total,Sheet,Validity
Sheet 13 - 6 - Tanabata Matsuri (2.33),6 - Tanabata Matsuri,2,2,3,2.33,Sheet 13,Valid
Sheet 13 - 8 - strumento tecnologico / sixth sense (0.33),8 - strumento tecnologico / sixth sense,0,1,0,0.33,Sheet 13,Valid
Sheet 13 - 9 - BANKSY (3),9 - BANKSY,3,3,3,3.00,Sheet 13,Valid
Sheet 13 - 10 - FLASH MOBS (3),10 - FLASH MOBS,3,3,3,3.00,Sheet 13,Valid
Sheet 14 - 1 - CHRISTMAS FOOD (2),1 - CHRISTMAS FOOD,2,2,2,2.00,Sheet 14,Valid
Sheet 14 - 2 - AURORA BOREALE (3),2 - AURORA BOREALE,3,3,3,3.00,Sheet 14,Valid
Sheet 14 - 3 - PEUGEOT (2),3 - PEUGEOT,2,2,2,2.00,Sheet 14,Valid
Sheet 14 - 4 - SLAVES OF TECHNOLOGY (2.67),4 - SLAVES OF TECHNOLOGY,2,3,3,2.67,Sheet 14,Valid
Sheet 14 - 5 - Cioccolato / Chocolate (2.67),5 - Cioccolato / Chocolate,2,3,3,2.67,Sheet 14,Valid
Sheet 14 - 6 - Tanabata Matsuri (2.67),6 - Tanabata Matsuri,2,3,3,2.67,Sheet 14,Valid
Sheet 14 - 8 - strumento tecnologico / sixth sense (2.67),8 - strumento tecnologico / sixth sense,2,3,3,2.67,Sheet 14,Valid
Sheet 14 - 9 - BANKSY (3),9 - BANKSY,3,3,3,3.00,Sheet 14,Valid
Sheet 14 - 10 - FLASH MOBS (2.67),10 - FLASH MOBS,2,3,3,2.67,Sheet 14,Valid
Sheet 15 - 1 - CHRISTMAS FOOD (1.33),1 - CHRISTMAS FOOD,1,1,2,1.33,Sheet 15,Invalid
Sheet 15 - 2 - AURORA BOREALE (3),2 - AURORA BOREALE,3,3,3,3.00,Sheet 15,Invalid
Sheet 15 - 3 - PEUGEOT (2.67),3 - PEUGEOT,2,3,3,2.67,Sheet 15,Invalid
Sheet 15 - 4 - SLAVES OF TECHNOLOGY (2),4 - SLAVES OF TECHNOLOGY,1,2,3,2.00,Sheet 15,Invalid
Sheet 15 - 5 - Cioccolato / Chocolate (1.67),5 - Cioccolato / Chocolate,2,2,1,1.67,Sheet 15,Invalid
Sheet 15 - 6 - Tanabata Matsuri (1.67),6 - Tanabata Matsuri,2,1,2,1.67,Sheet 15,Invalid
Sheet 15 - 7 - HIGHGATE VAMPIRE (1.67),7 - HIGHGATE VAMPIRE,1,2,2,1.67,Sheet 15,Invalid
Sheet 15 - 8 - strumento tecnologico / sixth sense (2),8 - strumento tecnologico / sixth sense,2,1,3,2.00,Sheet 15,Invalid
Sheet 15 - 9 - BANKSY (2.67),9 - BANKSY,2,3,3,2.67,Sheet 15,Invalid
Sheet 15 - 10 - FLASH MOBS (2),10 - FLASH MOBS,2,2,2,2.00,Sheet 15,Invalid
Sheet 16 - 1 - CHRISTMAS FOOD (1.67),1 - CHRISTMAS FOOD,1,2,2,1.67,Sheet 16,Valid
Sheet 16 - 3 - PEUGEOT (1.33),3 - PEUGEOT,2,1,1,1.33,Sheet 16,Valid
Sheet 16 - 4 - SLAVES OF TECHNOLOGY (1.67),4 - SLAVES OF TECHNOLOGY,2,1,2,1.67,Sheet 16,Valid
Sheet 16 - 5 - Cioccolato / Chocolate (1.33),5 - Cioccolato / Chocolate,2,1,1,1.33,Sheet 16,Valid
Sheet 16 - 6 - Tanabata Matsuri (1.67),6 - Tanabata Matsuri,2,1,2,1.67,Sheet 16,Valid
Sheet 16 - 7 - HIGHGATE VAMPIRE (2),7 - HIGHGATE VAMPIRE,2,2,2,2.00,Sheet 16,Valid
Sheet 16 - 8 - strumento tecnologico / sixth sense (1),8 - strumento tecnologico / sixth sense,1,1,1,1.00,Sheet 16,Valid
Sheet 16 - 9 - BANKSY (2.33),9 - BANKSY,3,2,2,2.33,Sheet 16,Valid
Sheet 16 - 10 - FLASH MOBS (1),10 - FLASH MOBS,1,1,1,1.00,Sheet 16,Valid
Sheet 17 - 1 - CHRISTMAS FOOD (1.67),1 - CHRISTMAS FOOD,2,1,2,1.67,Sheet 17,Valid
Sheet 17 - 3 - PEUGEOT (1.33),3 - PEUGEOT,2,1,1,1.33,Sheet 17,Valid
Sheet 17 - 4 - SLAVES OF TECHNOLOGY (3),4 - SLAVES OF TECHNOLOGY,3,3,3,3.00,Sheet 17,Valid
Sheet 17 - 5 - Cioccolato / Chocolate (1.67),5 - Cioccolato / Chocolate,2,1,2,1.67,Sheet 17,Valid
Sheet 17 - 6 - Tanabata Matsuri (0.67),6 - Tanabata Matsuri,0,1,1,0.67,Sheet 17,Valid
Sheet 17 - 7 - HIGHGATE VAMPIRE (2.67),7 - HIGHGATE VAMPIRE,3,2,3,2.67,Sheet 17,Valid
Sheet 17 - 8 - strumento tecnologico / sixth sense (0.33),8 - strumento tecnologico / sixth sense,0,0,1,0.33,Sheet 17,Valid
Sheet 17 - 9 - BANKSY (3),9 - BANKSY,3,3,3,3.00,Sheet 17,Valid
Sheet 17 - 10 - FLASH MOBS (1.33),10 - FLASH MOBS,1,1,2,1.33,Sheet 17,Valid
Sheet 18 - 1 - CHRISTMAS FOOD (1.33),1 - CHRISTMAS FOOD,2,1,1,1.33,Sheet 18,Valid
Sheet 18 - 3 - PEUGEOT (1.67),3 - PEUGEOT,2,2,1,1.67,Sheet 18,Valid
Sheet 18 - 4 - SLAVES OF TECHNOLOGY (2.33),4 - SLAVES OF TECHNOLOGY,2,2,3,2.33,Sheet 18,Valid
Sheet 18 - 5 - Cioccolato / Chocolate (2.33),5 - Cioccolato / Chocolate,2,2,3,2.33,Sheet 18,Valid
Sheet 18 - 6 - Tanabata Matsuri (1),6 - Tanabata Matsuri,1,1,1,1.00,Sheet 18,Valid
Sheet 18 - 7 - HIGHGATE VAMPIRE (2.67),7 - HIGHGATE VAMPIRE,3,2,3,2.67,Sheet 18,Valid
Sheet 18 - 8 - strumento tecnologico / sixth sense (1.33),8 - strumento tecnologico / sixth sense,2,1,1,1.33,Sheet 18,Valid
Sheet 18 - 9 - BANKSY (3),9 - BANKSY,3,3,3,3.00,Sheet 18,Valid
Sheet 18 - 10 - FLASH MOBS (1.67),10 - FLASH MOBS,2,1,2,1.67,Sheet 18,Valid
Sheet 19 - 1 - CHRISTMAS FOOD (1.33),1 - CHRISTMAS FOOD,1,1,2,1.33,Sheet 19,Valid
Sheet 19 - 2 - AURORA BOREALE (3),2 - AURORA BOREALE,3,3,3,3.00,Sheet 19,Valid
Sheet 19 - 4 - SLAVES OF TECHNOLOGY (2.33),4 - SLAVES OF TECHNOLOGY,3,2,2,2.33,Sheet 19,Valid
Sheet 19 - 5 - Cioccolato / Chocolate (0.33),5 - Cioccolato / Chocolate,1,0,0,0.33,Sheet 19,Valid
Sheet 19 - 6 - Tanabata Matsuri (0.67),6 - Tanabata Matsuri,0,1,1,0.67,Sheet 19,Valid
Sheet 19 - 7 - HIGHGATE VAMPIRE (2.67),7 - HIGHGATE VAMPIRE,3,2,3,2.67,Sheet 19,Valid
Sheet 19 - 8 - strumento tecnologico / sixth sense (2),8 - strumento tecnologico / sixth sense,2,2,2,2.00,Sheet 19,Valid
Sheet 19 - 9 - BANKSY (2.67),9 - BANKSY,3,2,3,2.67,Sheet 19,Valid
Sheet 19 - 10 - FLASH MOBS (2.33),10 - FLASH MOBS,3,2,2,2.33,Sheet 19,Valid
Sheet 20 - 1 - CHRISTMAS FOOD (2),1 - CHRISTMAS FOOD,2,2,2,2.00,Sheet 20,Valid
Sheet 20 - 3 - PEUGEOT (2),3 - PEUGEOT,2,2,2,2.00,Sheet 20,Valid
Sheet 20 - 4 - SLAVES OF TECHNOLOGY (3),4 - SLAVES OF TECHNOLOGY,3,3,3,3.00,Sheet 20,Valid
Sheet 20 - 5 - Cioccolato / Chocolate (2.67),5 - Cioccolato / Chocolate,3,2,3,2.67,Sheet 20,Valid
Sheet 20 - 6 - Tanabata Matsuri (2),6 - Tanabata Matsuri,2,2,2,2.00,Sheet 20,Valid
Sheet 20 - 7 - HIGHGATE VAMPIRE (2.67),7 - HIGHGATE VAMPIRE,3,2,3,2.67,Sheet 20,Valid
Sheet 20 - 8 - strumento tecnologico / sixth sense (2.67),8 - strumento tecnologico / sixth sense,2,3,3,2.67,Sheet 20,Valid
Sheet 20 - 9 - BANKSY (3),9 - BANKSY,3,3,3,3.00,Sheet 20,Valid
Sheet 20 - 10 - FLASH MOBS (2.33),10 - FLASH MOBS,2,2,3,2.33,Sheet 20,Valid
Sheet 21 - 1 - CHRISTMAS FOOD (1.67),1 - CHRISTMAS FOOD,2,1,2,1.67,Sheet 21,Valid
Sheet 21 - 3 - PEUGEOT (1.67),3 - PEUGEOT,2,1,2,1.67,Sheet 21,Valid
Sheet 21 - 4 - SLAVES OF TECHNOLOGY (2.33),4 - SLAVES OF TECHNOLOGY,3,2,2,2.33,Sheet 21,Valid
Sheet 21 - 5 - Cioccolato / Chocolate (2),5 - Cioccolato / Chocolate,2,2,2,2.00,Sheet 21,Valid
Sheet 21 - 6 - Tanabata Matsuri (1.33),6 - Tanabata Matsuri,2,1,1,1.33,Sheet 21,Valid
Sheet 21 - 7 - HIGHGATE VAMPIRE (1.33),7 - HIGHGATE VAMPIRE,2,1,1,1.33,Sheet 21,Valid
Sheet 21 - 8 - strumento tecnologico / sixth sense (3),8 - strumento tecnologico / sixth sense,3,3,3,3.00,Sheet 21,Valid
Sheet 21 - 9 - BANKSY (2.67),9 - BANKSY,3,2,3,2.67,Sheet 21,Valid
Sheet 21 - 10 - FLASH MOBS (1.67),10 - FLASH MOBS,2,1,2,1.67,Sheet 21,Valid
Sheet 22 - 1 - CHRISTMAS FOOD (2.67),1 - CHRISTMAS FOOD,2,3,3,2.67,Sheet 22,Valid
Sheet 22 - 2 - AURORA BOREALE (3),2 - AURORA BOREALE,3,3,3,3.00,Sheet 22,Valid
Sheet 22 - 3 - PEUGEOT (1.67),3 - PEUGEOT,2,2,1,1.67,Sheet 22,Valid
Sheet 22 - 4 - SLAVES OF TECHNOLOGY (2),4 - SLAVES OF TECHNOLOGY,2,2,2,2.00,Sheet 22,Valid
Sheet 22 - 6 - Tanabata Matsuri (1.67),6 - Tanabata Matsuri,2,2,1,1.67,Sheet 22,Valid
Sheet 22 - 7 - HIGHGATE VAMPIRE (1.67),7 - HIGHGATE VAMPIRE,2,2,1,1.67,Sheet 22,Valid
Sheet 22 - 8 - strumento tecnologico / sixth sense (1.67),8 - strumento tecnologico / sixth sense,2,2,1,1.67,Sheet 22,Valid
Sheet 22 - 9 - BANKSY (2.33),9 - BANKSY,2,2,3,2.33,Sheet 22,Valid
Sheet 23 - 1 - CHRISTMAS FOOD (1.33),1 - CHRISTMAS FOOD,1,2,1,1.33,Sheet 23,Valid
Sheet 23 - 2 - AURORA BOREALE (2),2 - AURORA BOREALE,2,2,2,2.00,Sheet 23,Valid
Sheet 23 - 3 - PEUGEOT (1.33),3 - PEUGEOT,2,1,1,1.33,Sheet 23,Valid
Sheet 23 - 4 - SLAVES OF TECHNOLOGY (2.67),4 - SLAVES OF TECHNOLOGY,2,3,3,2.67,Sheet 23,Valid
Sheet 23 - 7 - HIGHGATE VAMPIRE (1.33),7 - HIGHGATE VAMPIRE,2,1,1,1.33,Sheet 23,Valid
Sheet 23 - 6 - Tanabata Matsuri (2),6 - Tanabata Matsuri,1,2,3,2.00,Sheet 23,Valid
Sheet 23 - 8 - strumento tecnologico / sixth sense (1.67),8 - strumento tecnologico / sixth sense,2,2,1,1.67,Sheet 23,Valid
Sheet 23 - 9 - BANKSY (2.33),9 - BANKSY,2,2,3,2.33,Sheet 23,Valid
Sheet 23 - 10 - FLASH MOBS (2),10 - FLASH MOBS,2,2,2,2.00,Sheet 23,Valid
Sheet 24 - 2 - AURORA BOREALE (2.67),2 - AURORA BOREALE,2,3,3,2.67,Sheet 24,Valid
Sheet 24 - 3 - PEUGEOT (0.33),3 - PEUGEOT,1,0,0,0.33,Sheet 24,Valid
Sheet 24 - 4 - SLAVES OF TECHNOLOGY (2),4 - SLAVES OF TECHNOLOGY,3,1,2,2.00,Sheet 24,Valid
Sheet 24 - 5 - Cioccolato / Chocolate (1.33),5 - Cioccolato / Chocolate,2,1,1,1.33,Sheet 24,Valid
Sheet 24 - 6 - Tanabata Matsuri (1.33),6 - Tanabata Matsuri,1,1,2,1.33,Sheet 24,Valid
Sheet 24 - 7 - HIGHGATE VAMPIRE (2),7 - HIGHGATE VAMPIRE,2,1,3,2.00,Sheet 24,Valid
Sheet 24 - 8 - strumento tecnologico / sixth sense (2),8 - strumento tecnologico / sixth sense,1,2,3,2.00,Sheet 24,Valid
Sheet 24 - 9 - BANKSY (2.33),9 - BANKSY,2,2,3,2.33,Sheet 24,Valid
Sheet 24 - 10 - FLASH MOBS (1.67),10 - FLASH MOBS,2,1,2,1.67,Sheet 24,Valid
Sheet 25 - 1 - CHRISTMAS FOOD (1.67),1 - CHRISTMAS FOOD,2,1,2,1.67,Sheet 25,Valid
Sheet 25 - 2 - AURORA BOREALE (2.67),2 - AURORA BOREALE,3,2,3,2.67,Sheet 25,Valid
Sheet 25 - 3 - PEUGEOT (1.67),3 - PEUGEOT,2,1,2,1.67,Sheet 25,Valid
Sheet 25 - 4 - SLAVES OF TECHNOLOGY (1.67),4 - SLAVES OF TECHNOLOGY,2,1,2,1.67,Sheet 25,Valid
Sheet 25 - 5 - Cioccolato / Chocolate (1.67),5 - Cioccolato / Chocolate,2,1,2,1.67,Sheet 25,Valid
